event,2015-03-31,1
event,2015-07-31,1
event,2015-11-30,2
event,2016-03-31,0
event,2016-07-31,2
event,2016-11-30,4
link,2015-03-31,10236
link,2015-07-31,11565
link,2015-11-30,13254
link,2016-03-31,16198
link,2016-07-31,15043
link,2016-11-30,15139
link,2017-03-31,16389
photo,2015-03-31,1406
photo,2015-07-31,1075
photo,2015-11-30,1244
photo,2016-03-31,1126
photo,2016-07-31,1227
photo,2016-11-30,1047
photo,2017-03-31,924
status,2015-03-31,36
status,2015-07-31,27
status,2015-11-30,16
status,2016-03-31,14
status,2016-07-31,12
status,2016-11-30,13
status,2017-03-31,6
video,2015-03-31,426
video,2015-07-31,682
video,2015-11-30,1283
video,2016-03-31,1805
video,2016-07-31,2505
video,2016-11-30,3002
video,2017-03-31,3759
